,hour,start station name,start station latitude,start station longitude,start station id
0,0,5 Corners Library,40.73496102000952,-74.05950307846071,13
1,0,Astor Place,40.71928220070703,-74.07126188278198,18
2,0,Baldwin at Montgomery,40.7236589,-74.0641943,10
3,0,Bergen Ave,40.72210378668603,-74.07145500183104,8
4,0,Brunswick & 6th,40.726011729646245,-74.0503889322281,4
5,0,Brunswick St,40.7241765,-74.05065640000002,12
6,0,Christ Hospital,40.734785818,-74.050443636,14
7,0,City Hall,40.7177325,-74.04384499999998,35
8,0,Columbus Dr at Exchange Pl,40.71687,-74.03281,143
9,0,Columbus Drive,40.71835519823214,-74.03891444206238,27
10,0,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,4
11,0,Dey St,40.737711,-74.066921,3
12,0,Dixon Mills,40.72163014263835,-74.04996782541275,17
13,0,Essex Light Rail,40.71277420000001,-74.03648570000001,15
14,0,Fairmount Ave,40.72572613742557,-74.07195925712584,6
15,0,Glenwood Ave,40.72755146730012,-74.07106071710588,10
16,0,Grand St,40.71517767732029,-74.03768330812454,23
17,0,Grove St PATH,40.71958611647166,-74.0431174635887,137
18,0,Hamilton Park,40.727595965999996,-74.044247311,49
19,0,Harborside,40.71925170000001,-74.034234,47
20,0,Heights Elevator,40.748715945380226,-74.04044330120088,21
21,0,Hilltop,40.7311689,-74.0575736,10
22,0,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,25
23,0,JC Medical Center,40.71653978099194,-74.0496379137039,14
24,0,Jackson Square,40.71113,-74.0789,8
25,0,Jersey & 3rd,40.723331586464354,-74.04595255851744,10
26,0,Jersey & 6th St,40.72528910781132,-74.04557168483734,16
27,0,Journal Square,40.73367,-74.0625,18
28,0,Lafayette Park,40.71346382669195,-74.06285852193831,4
29,0,Leonard Gordon Park,40.74590996631558,-74.05727148056029,2
30,0,Liberty Light Rail,40.7112423,-74.0557013,10
31,0,Lincoln Park,40.7246050998869,-74.07840594649316,11
32,0,Manila & 1st,40.72165072487999,-74.04288411140442,25
33,0,Marin Light Rail,40.71458403535893,-74.04281705617905,30
34,0,McGinley Square,40.7253399253558,-74.06762212514876,31
35,0,Monmouth and 6th,40.72568548362901,-74.0487903356552,8
36,0,Montgomery St,40.71942,-74.05099,15
37,0,Morris Canal,40.7124188237569,-74.03852552175522,37
38,0,Newark Ave,40.72152515,-74.046304543,40
39,0,Newport PATH,40.7272235,-74.03375890000002,46
40,0,Newport Pkwy,40.7287448,-74.03210820000002,66
41,0,Oakland Ave,40.7376037,-74.05247829999998,10
42,0,Paulus Hook,40.7141454,-74.0335519,75
43,0,Pershing Field,40.742677141,-74.051788633,16
44,0,Riverview Park,40.7443187,-74.04399090000003,5
45,0,Sip Ave,40.73089709786179,-74.06391263008119,73
46,0,Union St,40.71821129999999,-74.08363940000002,50
47,0,Van Vorst Park,40.71848892,-74.047726625,11
48,0,Warren St,40.72112360000001,-74.03805095,10
49,0,Washington St,40.7242941,-74.0354826,36
50,0,York St,40.71649,-74.04105,8
51,1,5 Corners Library,40.73496102000952,-74.05950307846071,8
52,1,Astor Place,40.71928220070703,-74.07126188278198,6
53,1,Baldwin at Montgomery,40.7236589,-74.0641943,13
54,1,Bergen Ave,40.72210378668603,-74.07145500183104,9
55,1,Brunswick & 6th,40.726011729646245,-74.0503889322281,6
56,1,Brunswick St,40.7241765,-74.05065640000002,9
57,1,City Hall,40.7177325,-74.04384499999998,23
58,1,Columbus Dr at Exchange Pl,40.71687,-74.03281,75
59,1,Columbus Drive,40.71835519823214,-74.03891444206238,12
60,1,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,7
61,1,Dey St,40.737711,-74.066921,8
62,1,Dixon Mills,40.72163014263835,-74.04996782541275,5
63,1,Essex Light Rail,40.71277420000001,-74.03648570000001,12
64,1,Fairmount Ave,40.72572613742557,-74.07195925712584,7
65,1,Glenwood Ave,40.72755146730012,-74.07106071710588,7
66,1,Grand St,40.71517767732029,-74.03768330812454,8
67,1,Grove St PATH,40.71958611647166,-74.0431174635887,87
68,1,Hamilton Park,40.727595965999996,-74.044247311,20
69,1,Harborside,40.71925170000001,-74.034234,22
70,1,Heights Elevator,40.748715945380226,-74.04044330120088,9
71,1,Hilltop,40.7311689,-74.0575736,18
72,1,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,8
73,1,JC Medical Center,40.71653978099194,-74.0496379137039,8
74,1,Jackson Square,40.71113,-74.0789,6
75,1,Jersey & 3rd,40.723331586464354,-74.04595255851744,7
76,1,Jersey & 6th St,40.72528910781132,-74.04557168483734,5
77,1,Journal Square,40.73367,-74.0625,11
78,1,Lafayette Park,40.71346382669195,-74.06285852193831,5
79,1,Leonard Gordon Park,40.74590996631558,-74.05727148056029,8
80,1,Liberty Light Rail,40.7112423,-74.0557013,11
81,1,Lincoln Park,40.7246050998869,-74.07840594649316,8
82,1,Manila & 1st,40.72165072487999,-74.04288411140442,6
83,1,Marin Light Rail,40.71458403535893,-74.04281705617905,19
84,1,McGinley Square,40.7253399253558,-74.06762212514876,23
85,1,Monmouth and 6th,40.72568548362901,-74.0487903356552,6
86,1,Montgomery St,40.71942,-74.05099,4
87,1,Morris Canal,40.7124188237569,-74.03852552175522,4
88,1,Newark Ave,40.72152515,-74.046304543,19
89,1,Newport PATH,40.7272235,-74.03375890000002,21
90,1,Newport Pkwy,40.7287448,-74.03210820000002,36
91,1,Oakland Ave,40.7376037,-74.05247829999998,4
92,1,Paulus Hook,40.7141454,-74.0335519,54
93,1,Pershing Field,40.742677141,-74.051788633,7
94,1,Riverview Park,40.7443187,-74.04399090000003,2
95,1,Sip Ave,40.73089709786179,-74.06391263008119,56
96,1,Union St,40.71821129999999,-74.08363940000002,17
97,1,Van Vorst Park,40.71848892,-74.047726625,9
98,1,Warren St,40.72112360000001,-74.03805095,8
99,1,Washington St,40.7242941,-74.0354826,24
100,1,York St,40.71649,-74.04105,3
101,2,5 Corners Library,40.73496102000952,-74.05950307846071,5
102,2,Astor Place,40.71928220070703,-74.07126188278198,2
103,2,Baldwin at Montgomery,40.7236589,-74.0641943,3
104,2,Bergen Ave,40.72210378668603,-74.07145500183104,3
105,2,Brunswick & 6th,40.726011729646245,-74.0503889322281,6
106,2,Brunswick St,40.7241765,-74.05065640000002,13
107,2,Christ Hospital,40.734785818,-74.050443636,1
