starttime,tripduration,rides
2020-01-31,784.6299069157083,1240596
2020-02-29,792.0749919342884,1146830
2020-03-31,1160.832886115211,1068457
2020-04-30,1613.0203013641649,682762
2020-05-31,1631.9154124296822,1487890
2020-06-30,1639.0907588856664,1882273
2020-07-31,1587.4401987265696,2105808
2020-08-31,1399.6322323025317,2329514
